"word_kanji","kana_parsed","kana_parsed2","hangul"
直観,チョッ|カン,チョッ|カン,직관
実体,ジッ|タイ,ジッ|タイ,실체
本質,ホン|シツ,ホン|シツ,본질
観念,カン|ネン,カン|ネン,관념
形而上学,ケイ|ジ|ジョウ|ガク,ケイ|ジ|ジョー|ガク,형이상학
二元論,ニ|ゲン|ロン,ニ|ゲン|ロン,이원론
一元論,イチ|ゲン|ロン,イチ|ゲン|ロン,일원론
意志,イ|シ,イ|シ,의지
感性,カン|セイ,カン|セイ,감성
超越,チョウ|エツ,チョー|エツ,초월
徳,トク,トク,덕
規範,キ|ハン,キ|ハン,규범
人格,ジン|カク,ジン|カク,인격
原理,ゲン|リ,ゲン|リ,원리
前提,ゼン|テイ,ゼン|テイ,전제
類推,ルイ|スイ,ルイ|スイ,유추
天井川,テン|ジョウ|ガワ,テン|ジョー|ガワ,천정천
団塊,ダン|カイ,ダン|カイ,단괴
宝石,ホウ|セキ,ホー|セキ,보석
電撃,デン|ゲキ,デン|ゲキ,전격
照明,ショウ|メイ,ショー|メイ,조명
満塁,マン|ルイ,マン|ルイ,만루
風向,フウ|コウ,フー|コー,풍향
進軍,シン|グン,シン|グン,진군
中立,チュウ|リツ,チュー|リツ,중립
結婚式,ケッ|コン|シキ,ケッ|コン|シキ,결혼식
義和,ヨシ|カズ,ヨシ|カズ,의화
無色,ム|ショク,ム|ショク,무색
溶液,ヨウ|エキ,ヨー|エキ,용액
中興,チュウ|コウ,チュー|コー,중흥
馬具,バ|グ,バ|グ,마구
南朝,ナン|チョウ,ナン|チョー,남조
北朝,ホク|チョウ,ホク|チョー,북조
天頂,テン|チョウ,テン|チョー,천정
執事,シツ|ジ,シツ|ジ,집사
奇跡,キ|セキ,キ|セキ,기적
再臨,サイ|リン,サイ|リン,재림
啓示,ケイ|ジ,ケイ|ジ,계시
仙人,セン|ニン,セン|ニン,선인
道士,ドウ|シ,ドー|シ,도사
如来,ニョ|ライ,ニョ|ライ,여래
五蘊,ゴ|ウン,ゴ|ウン,오온
無我,ム|ガ,ム|ガ,무아
恩寵,オン|チョウ,オン|チョー,은총
摂理,セツ|リ,セツ|リ,섭리
中耳炎,チュウ|ジ|エン,チュー|ジ|エン,중이염
沙門,シャ|モン,シャ|モン,사문
五戒,ゴ|カイ,ゴ|カイ,오계
出家,シュッ|ケ,シュッ|ケ,출가
肝硬変,カン|コウ|ヘン,カン|コー|ヘン,간경변
命婦,ミョウ|ブ,ミョー|ブ,명부
氏族,シ|ゾク,シ|ゾク,씨족
大越,オオ|ゴシ,オー|ゴシ,대월
石綿,イシ|ワタ,イシ|ワタ,석면
四球,シ|キュウ,シ|キュー,사구
経蔵,キョウ|ゾウ,キョー|ゾー,경장
大蔵経,ダイ|ゾウ|キョウ,ダイ|ゾー|キョー,대장경
武道館,ブ|ドウ|カン,ブ|ドー|カン,무도관
火炎瓶,カ|エン|ビン,カ|エン|ビン,화염병
占領,セン|リョウ,セン|リョー,점령
証言,ショウ|ゲン,ショー|ゲン,증언
野党,ヤ|トウ,ヤ|トー,야당
緊急,キン|キュウ,キン|キュー,긴급
逮捕,タイ|ホ,タイ|ホ,체포
燻蒸,クン|ジョウ,クン|ジョー,훈증
峡谷,キョウ|コク,キョー|コク,협곡
侵食,シン|ショク,シン|ショク,침식
貧困,ヒン|コン,ヒン|コン,빈곤
土壌,ド|ジョウ,ド|ジョー,토양
放射能,ホウ|シャ|ノウ,ホー|シャ|ノー,방사능
小脳,ショウ|ノウ,ショー|ノー,소뇌
脊髄,セキ|ズイ,セキ|ズイ,척수
積分,セキ|ブン,セキ|ブン,적분
風船,フウ|セン,フー|セン,풍선
給食,キュウ|ショク,キュー|ショク,급식
幕末,バク|マツ,バク|マツ,막말
婚前,コン|ゼン,コン|ゼン,혼전
作曲,サッ|キョク,サッ|キョク,작곡
代打,ダイ|ダ,ダイ|ダ,대타
南方,ナン|ポウ,ナン|ポー,남방
石刻,セッ|コク,セッ|コク,석각
従軍,ジュウ|グン,ジュー|グン,종군
写本,シャ|ホン,シャ|ホン,사본
東大,トウ|ダイ,トー|ダイ,동대
馬車,バ|シャ,バ|シャ,마차
灯台,トウ|ダイ,トー|ダイ,등대
毛細管,モウ|サイ|カン,モー|サイ|カン,모세관
遠隔,エン|カク,エン|カク,원격
処刑,ショ|ケイ,ショ|ケイ,처형
洋服,ヨウ|フク,ヨー|フク,양복
相続,ソウ|ゾク,ソー|ゾク,상속
蒸留,ジョウ|リュウ,ジョー|リュー,증류
公判,コウ|ハン,コー|ハン,공판
無双,ム|ソウ,ム|ソー,무쌍
真如,シン|ニョ,シン|ニョ,진여
義,ヨシ,ヨシ,의
忠,タダシ,タダシ,충
五常,ゴ|ジョウ,ゴ|ジョー,오상
遣唐使,ケン|トウ|シ,ケン|トー|シ,견당사
無所属,ム|ショ|ゾク,ム|ショ|ゾク,무소속
白色,ハク|ショク,ハク|ショク,백색
打点,ダ|テン,ダ|テン,타점
租界,ソ|カイ,ソ|カイ,조계
借款,シャッ|カン,シャッ|カン,차관
牧畜,ボク|チク,ボク|チク,목축
洗剤,セン|ザイ,セン|ザイ,세제
縮尺,シュク|シャク,シュク|シャク,축척
鳥瞰図,チョウ|カン|ズ,チョー|カン|ズ,조감도
織物,オリ|モノ,オリ|モノ,직물
男娼,ダン|ショウ,ダン|ショー,남창
副詞,フク|シ,フク|シ,부사
実定法,ジッ|テイ|ホウ,ジッ|テイ|ホー,실정법
擬声語,ギ|セイ|ゴ,ギ|セイ|ゴ,의성어
養蜂,ヨウ|ホウ,ヨー|ホー,양봉
景明,カゲ|アキ,カゲ|アキ,경명
専制,セン|セイ,セン|セイ,전제
析出,セキ|シュツ,セキ|シュツ,석출
脾臓,ヒ|ゾウ,ヒ|ゾー,비장
横隔膜,オウ|カク|マク,オー|カク|マク,횡격막
法廷,ホウ|テイ,ホー|テイ,법정
野砲,ヤ|ホウ,ヤ|ホー,야포
孝昌,タカ|マサ,タカ|マサ,효창
高山病,コウ|ザン|ビョウ,コー|ザン|ビョー,고산병
綿実油,メン|ジツ|ユ,メン|ジツ|ユ,면실유
回帰,カイ|キ,カイ|キ,회귀
暗礁,アン|ショウ,アン|ショー,암초
尺度,シャク|ド,シャク|ド,척도
憲兵,ケン|ペイ,ケン|ペイ,헌병
大同,ダイ|ドウ,ダイ|ドー,대동
無煙炭,ム|エン|タン,ム|エン|タン,무연탄
油田,ユ|デン,ユ|デン,유전
襲撃,シュウ|ゲキ,シュー|ゲキ,습격
阿房宮,ア|ボウ|キュウ,ア|ボー|キュー,아방궁
寛容,カン|ヨウ,カン|ヨー,관용
職業病,ショク|ギョウ|ビョウ,ショク|ギョー|ビョー,직업병
人民大会堂,ジン|ミン|ダイ|カイ|ドウ,ジン|ミン|ダイ|カイ|ドー,인민대회당
狭心症,キョウ|シン|ショウ,キョー|シン|ショー,협심증
日本国,ニッ|ポン|コク,ニッ|ポン|コク,일본국
桓公,カン|コウ,カン|コー,환공
蓄積,チク|セキ,チク|セキ,축적
肉眼,ニク|ガン,ニク|ガン,육안
体育館,タイ|イク|カン,タイ|イク|カン,체육관
伝令,デン|レイ,デン|レイ,전령
軍馬,グン|バ,グン|バ,군마
開国,カイ|コク,カイ|コク,개국
語録,ゴ|ロク,ゴ|ロク,어록
中水道,ナカ|スイ|ドウ,ナカ|スイ|ドー,중수도
特異,トク|イ,トク|イ,특이
請願,セイ|ガン,セイ|ガン,청원
電極,デン|キョク,デン|キョク,전극
協約,キョウ|ヤク,キョー|ヤク,협약
肺気腫,ハイ|キ|シュ,ハイ|キ|シュ,폐기종
換算,カン|サン,カン|サン,환산
主筆,シュ|ヒツ,シュ|ヒツ,주필
楽譜,ガク|フ,ガク|フ,악보
中距離,チュウ|キョ|リ,チュー|キョ|リ,중거리
羊皮紙,ヨウ|ヒ|シ,ヨー|ヒ|シ,양피지
形相,ギョウ|ソウ,ギョー|ソー,형상
文体,ブン|タイ,ブン|タイ,문체
不凍液,フ|トウ|エキ,フ|トー|エキ,부동액
象牙,ゾウ|ゲ,ゾー|ゲ,상아
最優秀,サイ|ユウ|シュウ,サイ|ユー|シュー,최우수
序曲,ジョ|キョク,ジョ|キョク,서곡
変動,ヘン|ドウ,ヘン|ドー,변동
平民,ヘイ|ミン,ヘイ|ミン,평민
艦艇,カン|テイ,カン|テイ,함정
蜃気楼,シン|キ|ロウ,シン|キ|ロー,신기루
滑石,カッ|セキ,カッ|セキ,활석
馬主,バ|シュ,バ|シュ,마주
置換,チ|カン,チ|カン,치환
沙悟浄,サ|ゴ|ジョウ,サ|ゴ|ジョー,사오정
東洋,トウ|ヨウ,トー|ヨー,동양
送電,ソウ|デン,ソー|デン,송전
目次,モク|ジ,モク|ジ,목차
夫婦,フウ|フ,フー|フ,부부
四声,シ|セイ,シ|セイ,사성
仮処分,カリ|ショ|ブン,カリ|ショ|ブン,가처분
揚水,ヨウ|スイ,ヨー|スイ,양수
噴火,フン|カ,フン|カ,분화
共犯,キョウ|ハン,キョー|ハン,공범
治療,チ|リョウ,チ|リョー,치료
造幣局,ゾウ|ヘイ|キョク,ゾー|ヘイ|キョク,조폐국
大賞,タイ|ショウ,タイ|ショー,대상
構成,コウ|セイ,コー|セイ,구성
兵家,ヘイ|カ,ヘイ|カ,병가
妥協,ダ|キョウ,ダ|キョー,타협
城市,ジョウ|シ,ジョー|シ,성시
芸名,ゲイ|メイ,ゲイ|メイ,예명
普通,フ|ツウ,フ|ツー,보통
捜索,ソウ|サク,ソー|サク,수색
安新,アン|シン,アン|シン,안신
単打,タン|ダ,タン|ダ,단타
与党,ヨ|トウ,ヨ|トー,여당
部族,ブ|ゾク,ブ|ゾク,부족
種族,シュ|ゾク,シュ|ゾク,종족
緩和,カン|ワ,カン|ワ,완화
等号,トウ|ゴウ,トー|ゴー,등호
水痘,スイ|トウ,スイ|トー,수두
広陽,コウ|ヨウ,コー|ヨー,광양
麻雀,マー|ジャン,マー|ジャン,마작
国王,コク|オウ,コク|オー,국왕
頭痛,ズ|ツウ,ズ|ツー,두통
中陽,チュウ|ヨウ,チュー|ヨー,중양
進化,シン|カ,シン|カ,진화
地籍,チ|セキ,チ|セキ,지적
乙,オツ,オツ,을
軸,ジク,ジク,축
史料,シ|リョウ,シ|リョー,사료
翻案,ホン|アン,ホン|アン,번안
名誉,メイ|ヨ,メイ|ヨ,명예
白旗,ハッ|キ,ハッ|キ,백기
感電,カン|デン,カン|デン,감전
拍車,ハク|シャ,ハク|シャ,박차
麻山,アサ|ヤマ,アサ|ヤマ,마산
幻想曲,ゲン|ソウ|キョク,ゲン|ソー|キョク,환상곡
黒曜石,コク|ヨウ|セキ,コク|ヨー|セキ,흑요석
非常,ヒ|ジョウ,ヒ|ジョー,비상
竹馬,タケ|ウマ,タケ|ウマ,죽마
経学,ケイ|ガク,ケイ|ガク,경학
孝,コウ,コー,효
水冷,スイ|レイ,スイ|レイ,수랭
空冷,クウ|レイ,クー|レイ,공랭
収集,シュウ|シュウ,シュー|シュー,수집
大将軍,ダイ|ショウ|グン,ダイ|ショー|グン,대장군
至徳,シ|トク,シ|トク,지덕
断熱,ダン|ネツ,ダン|ネツ,단열
原始,ゲン|シ,ゲン|シ,원시
制動,セイ|ドウ,セイ|ドー,제동
中山,ナカ|ヤマ,ナカ|ヤマ,중산
議事堂,ギ|ジ|ドウ,ギ|ジ|ドー,의사당
変,ヘン,ヘン,변
合奏,ガッ|ソウ,ガッ|ソー,합주
白米,ハク|マイ,ハク|マイ,백미
江東,コウ|トウ,コー|トー,강동
江西,エ|ニシ,エ|ニシ,강서
江北,コウ|ホク,コー|ホク,강북
花山,ハナ|ヤマ,ハナ|ヤマ,화산
大衆,タイ|シュウ,タイ|シュー,대중
深成岩,シン|セイ|ガン,シン|セイ|ガン,심성암
自己,ジ|コ,ジ|コ,자기
倉山,ク|ラヤマ,ク|ラヤマ,창산
沙,イサゴ,イサゴ,사
四天王,シ|テン|ノウ,シ|テン|ノー,사천왕
大西洋,タイ|セイ|ヨウ,タイ|セイ|ヨー,대서양
降下,コウ|カ,コー|カ,강하
騒動,ソウ|ドウ,ソー|ドー,소동
搬送波,ハン|ソウ|ハ,ハン|ソー|ハ,반송파
研磨,ケン|マ,ケン|マ,연마
凝灰岩,ギョウ|カイ|ガン,ギョー|カイ|ガン,응회암
鑑賞,カン|ショウ,カン|ショー,감상
磨崖仏,マ|ガイ|ブツ,マ|ガイ|ブツ,마애불
魔王,マ|オウ,マ|オー,마왕
冠,カンムリ,カンムリ,관
木橋,モク|キョウ,モク|キョー,목교
語源,ゴ|ゲン,ゴ|ゲン,어원
預託,ヨ|タク,ヨ|タク,예탁
証券,ショウ|ケン,ショー|ケン,증권
麻由美,マ|ユ|ミ,マ|ユ|ミ,마유미
水質,スイ|シツ,スイ|シツ,수질
薬局,ヤッ|キョク,ヤッ|キョク,약국
山陽,サン|ヨウ,サン|ヨー,산양
郷,サト,サト,향
家,カ,カ,가
新,シン,シン,신
光山,コウ|ヤマ,コー|ヤマ,광산
大橋,オオ|ハシ,オー|ハシ,대교
黄土,オウ|ド,オー|ド,황토
蛍光,ケイ|コウ,ケイ|コー,형광
検証,ケン|ショウ,ケン|ショー,검증
北方,ホッ|ポウ,ホッ|ポー,북방
岩塩,ガン|エン,ガン|エン,암염
暴力,ボウ|リョク,ボー|リョク,폭력
外反母趾,ガイ|ハン|ボ|シ,ガイ|ハン|ボ|シ,외반모지
黒船,ク|ロフネ,ク|ロフネ,흑선
震源,シン|ゲン,シン|ゲン,진원
震央,シン|オウ,シン|オー,진앙
高性能,コウ|セイ|ノウ,コー|セイ|ノー,고성능
同級生,ドウ|キュウ|セイ,ドー|キュー|セイ,동급생
端午,タン|ゴ,タン|ゴ,단오
学院,ガク|イン,ガク|イン,학원
緩衝,カン|ショウ,カン|ショー,완충
陽春,ヨウ|シュン,ヨー|シュン,양춘
陰極線,イン|キョク|セン,イン|キョク|セン,음극선
新津,ニイ|ツ,ニー|ツ,신진
乾電池,カン|デン|チ,カン|デン|チ,건전지
人名,ジン|メイ,ジン|メイ,인명
制服,セイ|フク,セイ|フク,제복
安,ヤス,ヤス,안
腺,セン,セン,선
広安,ヒロ|ヤス,ヒロ|ヤス,광안
傭兵,ヨウ|ヘイ,ヨー|ヘイ,용병
表,ヒョウ,ヒョー,표
合法,ゴウ|ホウ,ゴー|ホー,합법
正安,マサ|ヤス,マサ|ヤス,정안
子宮,シ|キュウ,シ|キュー,자궁
実像,ジツ|ゾウ,ジツ|ゾー,실상
多磨,タ|マ,タ|マ,다마
専用,セン|ヨウ,セン|ヨー,전용
不全,フ|ゼン,フ|ゼン,부전
水準,スイ|ジュン,スイ|ジュン,수준
芒,ススキ,ススキ,망
工房,コウ|ボウ,コー|ボー,공방
沈没,チン|ボツ,チン|ボツ,침몰
沖積,チュウ|セキ,チュー|セキ,충적
洋,ヨウ,ヨー,양
受動態,ジュ|ドウ|タイ,ジュ|ドー|タイ,수동태
馬山,マ|ヤマ,マ|ヤマ,마산
天平,テン|ピョウ,テン|ピョー,천평
興和,コウ|ワ,コー|ワ,흥화
平炉,ヘイ|ロ,ヘイ|ロ,평로
中隊,チュウ|タイ,チュー|タイ,중대
大隊,ダイ|タイ,ダイ|タイ,대대
吸収,キュウ|シュウ,キュー|シュー,흡수
母集団,ボ|シュウ|ダン,ボ|シュー|ダン,모집단
改名,カイ|メイ,カイ|メイ,개명
畜産,チク|サン,チク|サン,축산
十二指腸,ジュウ|ニ|シ|チョウ,ジュー|ニ|シ|チョー,십이지장
日光浴,ニッ|コウ|ヨク,ニッ|コー|ヨク,일광욕
結腸,ケッ|チョウ,ケッ|チョー,결장
旗,ハタ,ハタ,기
盲腸,モウ|チョウ,モー|チョー,맹장
直腸,チョク|チョウ,チョク|チョー,직장
虫垂炎,チュウ|スイ|エン,チュー|スイ|エン,충수염
虫垂,チュウ|スイ,チュー|スイ,충수
野獣,ヤ|ジュウ,ヤ|ジュー,야수
学園,ガク|エン,ガク|エン,학원
水溶液,スイ|ヨウ|エキ,スイ|ヨー|エキ,수용액
半両銭,ハン|リョウ|ゼニ,ハン|リョー|ゼニ,반량전
天和,テン|ワ,テン|ワ,천화
並列,ヘイ|レツ,ヘイ|レツ,병렬
北江,ホッ|コウ,ホッ|コー,북강
対面,タイ|メン,タイ|メン,대면
方解石,ホウ|カイ|セキ,ホー|カイ|セキ,방해석
天保,テン|ポウ,テン|ポー,천보
地獄変,ジ|ゴク|ヘン,ジ|ゴク|ヘン,지옥변
短編,タン|ペン,タン|ペン,단편
事前,ジ|ゼン,ジ|ゼン,사전
収斂,シュウ|レン,シュー|レン,수렴
非常口,ヒ|ジョウ|グチ,ヒ|ジョー|グチ,비상구
漁船,ギョ|セン,ギョ|セン,어선
見本市,ミ|ホン|イチ,ミ|ホン|イチ,견본시
大業,オオ|ワザ,オー|ワザ,대업
武徳,ブ|トク,ブ|トク,무덕
有刺鉄線,ユウ|シ|テッ|セン,ユー|シ|テッ|セン,유자철선
食糧,ショク|リョウ,ショク|リョー,식량
胎盤,タイ|バン,タイ|バン,태반
燻製,クン|セイ,クン|セイ,훈제
夜間,ヤ|カン,ヤ|カン,야간
砂嘴,サ|シ,サ|シ,사취
防波堤,ボウ|ハ|テイ,ボー|ハ|テイ,방파제
戦記,セン|キ,セン|キ,전기
商人,ショウ|ニン,ショー|ニン,상인
高地,コウ|チ,コー|チ,고지
狂犬病,キョウ|ケン|ビョウ,キョー|ケン|ビョー,광견병
童話,ドウ|ワ,ドー|ワ,동화
雑草,ザッ|ソウ,ザッ|ソー,잡초
用語,ヨウ|ゴ,ヨー|ゴ,용어
賭博,ト|バク,ト|バク,도박
中学生,チュウ|ガク|セイ,チュー|ガク|セイ,중학생
薄暮,ハク|ボ,ハク|ボ,박모
蓄電池,チク|デン|チ,チク|デン|チ,축전지
