kanji,kana,kana_parsed,kana_romaji,hangul,hangul_parsed,hangul_romaja,kana_initial_medial,kana_final,kana_romaji_initial,kana_romaji_medial,kana_romaji_final,hangul_initial,hangul_medial,hangul_final,hangul_romaja_initial,hangul_romaja_medial,hangul_romaja_final,oldkana,かな(初声),かな(中声),かな(終声),한글(初声),한글(中声),한글(終声)
描,ビョウ,ビョ-ウ,b-yo-u,묘,ㅁᅭ,m-yo-,ビョ,ウ,b,yo,u,ㅁ,ᅭ,(none),m,yo,(none),べう,(11) バ行(b),(06) ヨ(yo),(02) ウ (u),(13) ㅁ(m),(07) ᅭ(yo),(01) (none)
病,ビョウ,ビョ-ウ,b-yo-u,병,ㅂᅧㅇ,b-yeo-ng,ビョ,ウ,b,yo,u,ㅂ,ᅧ,ㅇ,b,yeo,ng,びやう,(11) バ行(b),(06) ヨ(yo),(02) ウ (u),(12) ㅂ(b),(13) ᅧ(yeo),(02) ㅇ (ng)
逆,ギャク,ギャ-ク,g-ya-ku,역,ㅇᅧㄱ,-yeo-k,ギャ,ク,g,ya,ku,ㅇ,ᅧ,ㄱ,(none),yeo,k,ぎやく,(04) ガ行(g),(03) ヤ(ya),(05) ク (ku),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
虐,ギャク,ギャ-ク,g-ya-ku,학,ㅎᅡㄱ,h-a-k,ギャ,ク,g,ya,ku,ㅎ,ᅡ,ㄱ,h,a,k,ぎやく,(04) ガ行(g),(03) ヤ(ya),(05) ク (ku),(03) ㅎ(h),(03) ᅡ(a),(06) ㄱ (k)
玉,ギョク,ギョ-ク,g-yo-ku,옥,ㅇᅩㄱ,-o-k,ギョ,ク,g,yo,ku,ㅇ,ᅩ,ㄱ,(none),o,k,ぎよく,(04) ガ行(g),(06) ヨ(yo),(05) ク (ku),(01) ㅇ,(05) ᅩ(o),(06) ㄱ (k)
餃,ギョウ,ギョ-ウ,g-yo-u,교,ㄱᅭ,g-yo-,ギョ,ウ,g,yo,u,ㄱ,ᅭ,(none),g,yo,(none),,(04) ガ行(g),(06) ヨ(yo),(02) ウ (u),(02) ㄱ(g),(07) ᅭ(yo),(01) (none)
業,ギョウ,ギョ-ウ,g-yo-u,업,ㅇᅥㅂ,-eo-b,ギョ,ウ,g,yo,u,ㅇ,ᅥ,ㅂ,(none),eo,b,ごふ,(04) ガ行(g),(06) ヨ(yo),(02) ウ (u),(01) ㅇ,(11) ᅥ(eo),(03) ㅂ (b)
凝,ギョウ,ギョ-ウ,g-yo-u,응,ㅇᅳㅇ,-eu-ng,ギョ,ウ,g,yo,u,ㅇ,ᅳ,ㅇ,(none),eu,ng,ぎよう,(04) ガ行(g),(06) ヨ(yo),(02) ウ (u),(01) ㅇ,(08) ᅳ(eu),(02) ㅇ (ng)
京,ギョウ,ギョ-ウ,g-yo-u,경,ㄱᅧㅇ,g-yeo-ng,ギョ,ウ,g,yo,u,ㄱ,ᅧ,ㅇ,g,yeo,ng,きやう,(04) ガ行(g),(06) ヨ(yo),(02) ウ (u),(02) ㄱ(g),(13) ᅧ(yeo),(02) ㅇ (ng)
行,ギョウ,ギョ-ウ,g-yo-u,행,ㅎᅢㅇ,h-ae-ng,ギョ,ウ,g,yo,u,ㅎ,ᅢ,ㅇ,h,ae,ng,ぎやう,(04) ガ行(g),(06) ヨ(yo),(02) ウ (u),(03) ㅎ(h),(01) ᅢ(ae),(02) ㅇ (ng)
形,ギョウ,ギョ-ウ,g-yo-u,형,ㅎᅧㅇ,h-yeo-ng,ギョ,ウ,g,yo,u,ㅎ,ᅧ,ㅇ,h,yeo,ng,ぎやう,(04) ガ行(g),(06) ヨ(yo),(02) ウ (u),(03) ㅎ(h),(13) ᅧ(yeo),(02) ㅇ (ng)
牛,ギュウ,ギュ-ウ,g-yu-u,우,ㅇᅮ,-u-,ギュ,ウ,g,yu,u,ㅇ,ᅮ,(none),(none),u,(none),ぎつ,(04) ガ行(g),(08) ユ(yu),(02) ウ (u),(01) ㅇ,(09) ᅮ(u),(01) (none)
百,ヒャク,ヒャ-ク,h-ya-ku,백,ㅂᅢㄱ,b-ae-k,ヒャ,ク,h,ya,ku,ㅂ,ᅢ,ㄱ,b,ae,k,ぴやく,(12) ハ行(h),(03) ヤ(ya),(05) ク (ku),(12) ㅂ(b),(01) ᅢ(ae),(06) ㄱ (k)
標,ヒョウ,ヒョ-ウ,h-yo-u,표,ㅍᅭ,p-yo-,ヒョ,ウ,h,yo,u,ㅍ,ᅭ,(none),p,yo,(none),ぺう,(12) ハ行(h),(06) ヨ(yo),(02) ウ (u),(14) ㅍ(p),(07) ᅭ(yo),(01) (none)
票,ヒョウ,ヒョ-ウ,h-yo-u,표,ㅍᅭ,p-yo-,ヒョ,ウ,h,yo,u,ㅍ,ᅭ,(none),p,yo,(none),ぺう,(12) ハ行(h),(06) ヨ(yo),(02) ウ (u),(14) ㅍ(p),(07) ᅭ(yo),(01) (none)
表,ヒョウ,ヒョ-ウ,h-yo-u,표,ㅍᅭ,p-yo-,ヒョ,ウ,h,yo,u,ㅍ,ᅭ,(none),p,yo,(none),ぺう,(12) ハ行(h),(06) ヨ(yo),(02) ウ (u),(14) ㅍ(p),(07) ᅭ(yo),(01) (none)
