kanji,kana,kana_parsed,kana_romaji,hangul,hangul_parsed,hangul_romaja,kana_initial_medial,kana_final,kana_romaji_initial,kana_romaji_medial,kana_romaji_final,hangul_initial,hangul_medial,hangul_final,hangul_romaja_initial,hangul_romaja_medial,hangul_romaja_final,oldkana,かな(初声),かな(中声),かな(終声),한글(初声),한글(中声),한글(終声)
従,ジュウ,ジュ-ウ,j-u-u,종,ㅈᅩㅇ,j-o-ng,ジュ,ウ,j,u,u,ㅈ,ᅩ,ㅇ,j,o,ng,じゆう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(06) ㅈ(j),(05) ᅩ(o),(02) ㅇ (ng)
重,ジュウ,ジュ-ウ,j-u-u,중,ㅈᅮㅇ,j-u-ng,ジュ,ウ,j,u,u,ㅈ,ᅮ,ㅇ,j,u,ng,ぢゆう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(06) ㅈ(j),(09) ᅮ(u),(02) ㅇ (ng)
十,ジュウ,ジュ-ウ,j-u-u,십,ㅅᅵㅂ,s-i-b,ジュ,ウ,j,u,u,ㅅ,ᅵ,ㅂ,s,i,b,じふ,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(05) ㅅ(s),(16) ᅵ(i),(03) ㅂ (b)
術,ジュッ,ジュ-ッ,j-u-xtu,술,ㅅᅮㄹ,s-u-l,ジュ,ッ,j,u,xtu,ㅅ,ᅮ,ㄹ,s,u,l,じゆつ,(08) ジャ行(j),(07) ウ(u),(08) ッ (xtu),(05) ㅅ(s),(09) ᅮ(u),(07) ㄹ (l)
却,キャク,キャ-ク,k-ya-ku,각,ㄱᅡㄱ,g-a-k,キャ,ク,k,ya,ku,ㄱ,ᅡ,ㄱ,g,a,k,きやく,(03) カ行(k),(03) ヤ(ya),(05) ク (ku),(02) ㄱ(g),(03) ᅡ(a),(06) ㄱ (k)
脚,キャク,キャ-ク,k-ya-ku,각,ㄱᅡㄱ,g-a-k,キャ,ク,k,ya,ku,ㄱ,ᅡ,ㄱ,g,a,k,ちやう,(03) カ行(k),(03) ヤ(ya),(05) ク (ku),(02) ㄱ(g),(03) ᅡ(a),(06) ㄱ (k)
客,キャク,キャ-ク,k-ya-ku,객,ㄱᅢㄱ,g-ae-k,キャ,ク,k,ya,ku,ㄱ,ᅢ,ㄱ,g,ae,k,きやく,(03) カ行(k),(03) ヤ(ya),(05) ク (ku),(02) ㄱ(g),(01) ᅢ(ae),(06) ㄱ (k)
棘,キョク,キョ-ク,k-yo-ku,극,ㄱᅳㄱ,g-eu-k,キョ,ク,k,yo,ku,ㄱ,ᅳ,ㄱ,g,eu,k,きよく,(03) カ行(k),(06) ヨ(yo),(05) ク (ku),(02) ㄱ(g),(08) ᅳ(eu),(06) ㄱ (k)
極,キョク,キョ-ク,k-yo-ku,극,ㄱᅳㄱ,g-eu-k,キョ,ク,k,yo,ku,ㄱ,ᅳ,ㄱ,g,eu,k,きよく,(03) カ行(k),(06) ヨ(yo),(05) ク (ku),(02) ㄱ(g),(08) ᅳ(eu),(06) ㄱ (k)
曲,キョク,キョ-ク,k-yo-ku,곡,ㄱᅩㄱ,g-o-k,キョ,ク,k,yo,ku,ㄱ,ᅩ,ㄱ,g,o,k,ぎよく,(03) カ行(k),(06) ヨ(yo),(05) ク (ku),(02) ㄱ(g),(05) ᅩ(o),(06) ㄱ (k)
局,キョク,キョ-ク,k-yo-ku,국,ㄱᅮㄱ,g-u-k,キョ,ク,k,yo,ku,ㄱ,ᅮ,ㄱ,g,u,k,きよく,(03) カ行(k),(06) ヨ(yo),(05) ク (ku),(02) ㄱ(g),(09) ᅮ(u),(06) ㄱ (k)
僑,キョウ,キョ-ウ,k-yo-u,교,ㄱᅭ,g-yo-,キョ,ウ,k,yo,u,ㄱ,ᅭ,(none),g,yo,(none),けう,(03) カ行(k),(06) ヨ(yo),(02) ウ (u),(02) ㄱ(g),(07) ᅭ(yo),(01) (none)
